GID	GENENAME
69822	ostta10g01300
69823	ostta10g01310
69824	ostta10g01320
69825	ostta10g01330
69826	ostta10g01340
69827	ostta10g01350
69828	ostta10g01360
69829	ostta10g01370
69830	ostta10g01380
69831	ostta10g01390
69832	ostta10g01400
69833	ostta10g01420
69834	ostta10g01430
69835	ostta10g01440
69836	ostta10g01450
69837	ostta10g01460
69838	ostta10g01470
69839	ostta10g01480
69840	ostta10g01490
69841	ostta10g01500
69842	ostta10g01510
69843	ostta10g01520
69844	ostta10g01530
69845	ostta10g01540
69846	ostta10g01550
69847	ostta10g01560
69848	ostta10g01570
69849	ostta10g01580
69850	ostta10g01590
69851	ostta10g01600
69852	ostta10g01610
69853	ostta10g01620
69854	ostta10g01630
69855	ostta10g01640
69856	ostta10g01650
69857	ostta10g01660
69858	ostta10g01670
69859	ostta10g01680
69860	ostta10g01690
69861	ostta10g01700
69862	ostta10g01705
69863	ostta10g01710
69864	ostta10g01720
69865	ostta10g01730
69866	ostta10g01740
69867	ostta10g01745
69868	ostta10g01750
69869	ostta10g01760
69870	ostta10g01790
69871	ostta10g01800
69872	ostta10g01810
69873	ostta10g01820
69874	ostta10g01830
69875	ostta10g01840
69876	ostta10g01850
69877	ostta10g01860
69878	ostta10g01870
69879	ostta10g01880
69880	ostta10g01890
69881	ostta10g01900
69882	ostta10g01910
69883	ostta10g01920
69884	ostta10g01930
69885	ostta10g01940
69886	ostta10g01950
69887	ostta10g01960
69888	ostta10g01980
69889	ostta10g01990
69890	ostta10g02000
69891	ostta10g02010
69892	ostta10g02015
69893	ostta10g02020
69894	ostta10g02025
69895	ostta10g02030
69896	ostta10g02040
69897	ostta10g02050
69898	ostta10g02060
69899	ostta10g02070
69900	ostta10g02080
69901	ostta10g02100
69902	ostta10g02120
69903	ostta10g02130
69904	ostta10g02140
69905	ostta10g02160
69906	ostta10g02170
69907	ostta10g02180
69908	ostta10g02190
69909	ostta10g02200
69910	ostta10g02210
69911	ostta10g02220
69912	ostta10g02230
69913	ostta10g02240
69914	ostta10g02250
69915	ostta10g02255
69916	ostta10g02260
69917	ostta10g02270
69918	ostta10g02280
69919	ostta10g02290
69920	ostta10g02300
69921	ostta10g02310
69922	ostta10g02320
69923	ostta10g02330
69924	ostta10g02340
69925	ostta10g02350
69926	ostta10g02360
69927	ostta10g02370
69928	ostta10g02380
69929	ostta10g02390
69930	ostta10g02400
69931	ostta10g02410
69932	ostta10g02420
69933	ostta10g02430
69934	ostta10g02435
69935	ostta10g02440
69936	ostta10g02450
69937	ostta10g02460
69938	ostta10g02470
69939	ostta10g02480
69940	ostta10g02490
69941	ostta10g02500
69942	ostta10g02510
69943	ostta10g02520
69944	ostta10g02530
69945	ostta10g02540
69946	ostta10g02550
69947	ostta10g02560
