Cre03.g182551.t1.2	PCY1
Cre03.g182600.t1.1	CPL1
Cre03.g182800.t1.1	AGT2
Cre03.g183100.t1.2	TIM22B
Cre03.g183200.t1.2	CPC1
Cre03.g183650.t1.1	GDP4
Cre03.g183850.t1.2	FDX6
Cre03.g184550.t1.2	CPLD28
Cre03.g184600.t1.1	RWP7
Cre03.g185050.t1.1	FAP53
Cre03.g185250.t1.2	SSS2
Cre03.g185500.t1.1	FAP160
Cre03.g185550.t1.2	SBP1
Cre03.g185650.t1.2	FAP251
Cre03.g186200.t1.2	PCT1
Cre03.g186300.t1.2	FAP146
Cre03.g186400.t1.1	SCR1
Cre03.g186400.t2.1	SCR1
Cre03.g187200.t1.2	ODA13
Cre03.g187350.t1.1	TUD1
Cre03.g187450.t1.2	RPI1
Cre03.g188300.t1.1	RBO1
Cre03.g188400.t1.1	RBO2
Cre03.g188500.t1.2	VPS46
Cre03.g188650.t1.2	PLP2
Cre03.g188700.t1.2	PLP6
Cre03.g189300.t1.1	PLP10
Cre03.g189550.t1.1	ZIP3
Cre03.g189800.t1.2	CYN38
Cre03.g189950.t1.2	HOP1
Cre03.g190100.t1.1	EIF3B
Cre03.g190150.t1.1	CGL1
Cre03.g190500.t1.2	GLH1
Cre03.g190850.t1.2	ECH1
Cre03.g190950.t1.2	TUA1
Cre03.g191050.t1.2	RAN1
Cre03.g191250.t1.2	LCI34
Cre03.g192000.t1.2	SEC13L
