TID	TRANSNAME
69902	ostta10g01710T0
69903	ostta10g01720T0
69904	ostta10g01730T0
69905	ostta10g01740T0
69906	ostta10g01745T0
69907	ostta10g01750T0
69908	ostta10g01760T0
69909	ostta10g01790T0
69910	ostta10g01800T0
69911	ostta10g01810T0
69912	ostta10g01820T0
69913	ostta10g01830T0
69914	ostta10g01840T0
69915	ostta10g01850T0
69916	ostta10g01860T0
69917	ostta10g01870T0
69918	ostta10g01880T0
69919	ostta10g01890T0
69920	ostta10g01900T0
69921	ostta10g01910T0
69922	ostta10g01920T0
69923	ostta10g01930T0
69924	ostta10g01940T0
69925	ostta10g01950T0
69926	ostta10g01960T0
69927	ostta10g01980T0
69928	ostta10g01990T0
69929	ostta10g02000T0
69930	ostta10g02010T0
69931	ostta10g02015T0
69932	ostta10g02020T0
69933	ostta10g02025T0
69934	ostta10g02030T0
69935	ostta10g02040T0
69936	ostta10g02050T0
69937	ostta10g02060T0
69938	ostta10g02070T0
69939	ostta10g02080T0
69940	ostta10g02100T0
69941	ostta10g02120T0
69942	ostta10g02130T0
69943	ostta10g02140T0
69944	ostta10g02160T0
69945	ostta10g02170T0
69946	ostta10g02180T0
69947	ostta10g02190T0
69948	ostta10g02200T0
69949	ostta10g02210T0
69950	ostta10g02220T0
69951	ostta10g02230T0
69952	ostta10g02240T0
69953	ostta10g02250T0
69954	ostta10g02255T0
69955	ostta10g02260T0
69956	ostta10g02270T0
69957	ostta10g02280T0
69958	ostta10g02290T0
69959	ostta10g02300T0
69960	ostta10g02310T0
69961	ostta10g02320T0
69962	ostta10g02330T0
69963	ostta10g02340T0
69964	ostta10g02350T0
69965	ostta10g02360T0
69966	ostta10g02370T0
69967	ostta10g02380T0
69968	ostta10g02390T0
69969	ostta10g02400T0
69970	ostta10g02410T0
69971	ostta10g02420T0
69972	ostta10g02430T0
69973	ostta10g02435T0
69974	ostta10g02440T0
69975	ostta10g02450T0
69976	ostta10g02460T0
69977	ostta10g02470T0
69978	ostta10g02480T0
69979	ostta10g02490T0
69980	ostta10g02500T0
69981	ostta10g02510T0
69982	ostta10g02520T0
69983	ostta10g02530T0
69984	ostta10g02540T0
69985	ostta10g02550T0
69986	ostta10g02560T0
69987	ostta10g02570T0
69988	ostta10g02580T0
69989	ostta10g02590T0
69990	ostta10g02600T0
69991	ostta10g02610T0
69992	ostta10g02620T0
69993	ostta10g02630T0
69994	ostta10g02640T0
69995	ostta10g02650T0
69996	ostta10g02660T0
69997	ostta10g02670T0
69998	ostta10g02680T0
69999	ostta10g02690T0
70000	ostta10g02700T0
70001	ostta10g02710T0
70002	ostta10g02720T0
70003	ostta10g02730T0
70004	ostta10g02740T0
70005	ostta10g02750T0
70006	ostta10g02760T0
70007	ostta10g02770T0
70008	ostta10g02780T0
70009	ostta10g02790T0
70010	ostta10g02800T0
70011	ostta10g02810T0
70012	ostta10g02820T0
70013	ostta10g02830T0
70014	ostta10g02840T0
70015	ostta10g02850T0
70016	ostta10g02860T0
70017	ostta10g02870T0
70018	ostta10g02880T0
70019	ostta10g02890T0
70020	ostta10g02900T0
70021	ostta10g02910T0
70022	ostta10g02920T0
70023	ostta10g02930T0
70024	ostta10g02940T0
70025	ostta10g02950T0
70026	ostta10g02960T0
70027	ostta10g02970T0
70028	ostta10g02980T0
70029	ostta10g02990T0
70030	ostta10g03000T0
70031	ostta10g03010T0
70032	ostta10g03020T0
70033	ostta10g03030T0
70034	ostta10g03040T0
70035	ostta10g03050T0
70036	ostta10g03060T0
70037	ostta10g03070T0
70038	ostta10g03080T0
70039	ostta10g03090T0
70040	ostta10g03100T0
70041	ostta10g03110T0
70042	ostta10g03120T0
70043	ostta10g03130T0
70044	ostta10g03135T0
70045	ostta10g03140T0
70046	ostta10g03150T0
70047	ostta10g03160T0
70048	ostta10g03170T0
70049	ostta10g03180T0
70050	ostta10g03185T0
70051	ostta10g03190T0
70052	ostta10g03200T0
70053	ostta10g03220T0
70054	ostta10g03230T0
70055	ostta10g03240T0
70056	ostta10g03250T0
70057	ostta10g03260T0
70058	ostta10g03270T0
70059	ostta10g03280T0
70060	ostta10g03290T0
70061	ostta10g03300T0
70062	ostta10g03310T0
70063	ostta10g03320T0
70064	ostta10g03330T0
70065	ostta10g03340T0
70066	ostta10g03350T0
70067	ostta10g03360T0
70068	ostta10g03365T0
70069	ostta10g03370T0
70070	ostta10g03380T0
70071	ostta10g03390T0
70072	ostta10g03400T0
70073	ostta10g03410T0
70074	ostta10g03420T0
70075	ostta10g03430T0
70076	ostta10g03435T0
70077	ostta10g03440T0
70078	ostta10g03450T0
70079	ostta10g03460T0
70080	ostta10g03470T0
70081	ostta10g03480T0
70082	ostta10g03490T0
